"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Advanced_Burning_Spear_Description"	"Sacrifices life to ignite the weapon, causing attacks to inflict continuous damage to enemies, stacking independently.<br><br>[Triumph] Upon killing a burning unit, regains %hplose_heal%% of lost health.<br><br>[Passing the Torch] Each stack of burning extends the duration of newly applied burns by %duration_amplify% seconds, up to a maximum of %max_bonus_duration% seconds."
"DOTA_Tooltip_ability_Advanced_Burning_Spear_Lore"	"With blood-forged spear, triumph I shall achieve."
"DOTA_Tooltip_ability_Advanced_Burning_Spear_hp_cost_pct"	"%Current Health Cost:"
"DOTA_Tooltip_ability_Advanced_Burning_Spear_damage" "Damage per Second per Stack:"
"DOTA_Tooltip_ability_Advanced_Burning_Spear_atb_damage" "Additional Damage per Second per Stack: Primary Attribute*"
"DOTA_Tooltip_ability_Advanced_Burning_Spear_duration"	"Duration:"

"DOTA_Tooltip_modifier_Advanced_Burning_Spear_debuff"                   "Blazing Spear"
"DOTA_Tooltip_modifier_Advanced_Burning_Spear_debuff_Description"                   "Takes damage per second."
"DOTA_Tooltip_modifier_Primary_Burning_Spear_debuff"                   "Blazing Spear"
"DOTA_Tooltip_modifier_Primary_Burning_Spear_debuff_Description"                   "Takes damage per second."
"DOTA_Tooltip_modifier_Middle_Burning_Spear_debuff"                   "Blazing Spear"
"DOTA_Tooltip_modifier_Middle_Burning_Spear_debuff_Description"                   "Takes damage per second."

"DOTA_Tooltip_modifier_Advanced_Burning_Spear_unlock1"                   "Eternal Boon"
"DOTA_Tooltip_modifier_Advanced_Burning_Spear_unlock1_Description"                   "Maximum health increased by %dMODIFIER_PROPERTY_TOOLTIP%."


//edios manifestation
"DOTA_Tooltip_ability_Primary_trace_on"	"Primary Eidos Manifestation"
"DOTA_Tooltip_ability_Primary_trace_on_Description"	"While in combat, a random temporary rune of a random type will periodically materialize around you. Allies who pick up these runes gain various bonuses until they expire after a set duration. When Auto-Cast is enabled, runes will spawn near the nearest allied hero.<br><br>Possible rune types: Haste, Offense, Defense, Resource;<br>This skill's cooldown cannot be reduced in any way;<br>Non-hero allied units can also benefit from runes but must actively click them.<font color=\"#606060\"></font>"
"DOTA_Tooltip_ability_Primary_trace_on_Lore"	"Eidos manifestation, creating runes with beneficial effects, is a mandatory course at Deckard Cain University."
"DOTA_Tooltip_ability_Primary_trace_on_duration"	"Temporary Materialization Duration:"
"DOTA_Tooltip_ability_Primary_trace_on_level1"	"%1st Rank Rune Chance"
"DOTA_Tooltip_ability_Primary_trace_on_level2"	"%2nd Rank Rune Chance"
"DOTA_Tooltip_ability_Primary_trace_on_level3"	"%3rd Rank Rune Chance"

"DOTA_Tooltip_ability_Middle_trace_on"	"Middle Eidos Manifestation"
"DOTA_Tooltip_ability_Middle_trace_on_Description"	"While in combat, a random temporary rune of a random type will periodically materialize around you. Allies who pick up these runes gain various bonuses until they expire after a set duration. When Auto-Cast is enabled, runes will spawn near the nearest allied hero.<br><br>[Multiple Manifestations]: There is a %chance%% chance that the ability will not enter cooldown upon manifesting a rune.<br>Possible rune types: Haste, Offense, Defense, Resource;<br>This skill's cooldown cannot be reduced in any way;<br>Non-hero allied units can also benefit from runes but must actively click them.<font color=\"#606060\"></font>"
"DOTA_Tooltip_ability_Middle_trace_on_Lore"	"Eidos manifestation, creating runes with beneficial effects, is a mandatory course at Deckard Cain University."
"DOTA_Tooltip_ability_Middle_trace_on_duration"	"Temporary Materialization Duration:"
"DOTA_Tooltip_ability_Middle_trace_on_level1"	"%1st Rank Rune Chance"
"DOTA_Tooltip_ability_Middle_trace_on_level2"	"%2nd Rank Rune Chance"
"DOTA_Tooltip_ability_Middle_trace_on_level3"	"%3rd Rank Rune Chance"

"DOTA_Tooltip_ability_Advanced_trace_on"	"Advanced Eidos Manifestation"
"DOTA_Tooltip_ability_Advanced_trace_on_Description"	"While in combat, a random temporary rune of a random type will periodically materialize around you. Allies who pick up these runes gain various bonuses until they expire after a set duration. When Auto-Cast is enabled, runes will spawn near the nearest allied hero.<br><br>[Multiple Manifestations]: There is a %chance%% chance that the ability will not enter cooldown upon manifesting a rune.<br>[Legendary Manifestation]: There is a %legend_chance%% chance that a rune will transform into either a Legendary Eidos·Sword or a Legendary Eidos·Stone upon manifestation.<br>Possible rune types: Haste, Offense, Defense, Resource;<br>This skill's cooldown cannot be reduced in any way;<br>Non-hero allied units can also benefit from runes but must actively click them.<font color=\"#606060\"></font>"
"DOTA_Tooltip_ability_Advanced_trace_on_Lore"	"Eidos manifestation, creating runes with beneficial effects, is a mandatory course at Deckard Cain University."
"DOTA_Tooltip_ability_Advanced_trace_on_duration"	"Temporary Materialization Duration:"
"DOTA_Tooltip_ability_Advanced_trace_on_level1"	"%1st Rank Rune Chance"
"DOTA_Tooltip_ability_Advanced_trace_on_level2"	"%2nd Rank Rune Chance"
"DOTA_Tooltip_ability_Advanced_trace_on_level3"	"%3rd Rank Rune Chance"

"DOTA_Tooltip_modifier_Advanced_trace_on_lvl10"   "Eidos Flow Band"
"DOTA_Tooltip_modifier_Advanced_trace_on_lvl10_Description"       "Increases damage dealt"

"DOTA_Tooltip_modifier_item_hd_trace_speed1"   "1st Rank Haste Rune"
"DOTA_Tooltip_modifier_item_hd_trace_speed1_Description"       "Increases attack speed by 60 and movement speed by 60"
"DOTA_Tooltip_modifier_item_hd_trace_speed2"   "2nd Rank Haste Rune"
"DOTA_Tooltip_modifier_item_hd_trace_speed2_Description"       "Increases attack speed by 130 and movement speed by 130"
"DOTA_Tooltip_modifier_item_hd_trace_speed3"   "3rd Rank Haste Rune"
"DOTA_Tooltip_modifier_item_hd_trace_speed3_Description"       "Increases attack speed by 200 and movement speed by 200, surpassing the movement speed limit"

"DOTA_Tooltip_modifier_item_hd_trace_power1"   "1st Rank Offense Rune"
"DOTA_Tooltip_modifier_item_hd_trace_power1_Description"       "Increases attack damage by 20% and skill amplification by 10%"
"DOTA_Tooltip_modifier_item_hd_trace_power2"   "2nd Rank Offense Rune"
"DOTA_Tooltip_modifier_item_hd_trace_power2_Description"       "Increases attack damage by 40% and skill amplification by 30%"
"DOTA_Tooltip_modifier_item_hd_trace_power3"   "3rd Rank Offense Rune"
"DOTA_Tooltip_modifier_item_hd_trace_power3_Description"       "Increases attack damage by 60% and skill amplification by 50%"

"DOTA_Tooltip_modifier_item_hd_trace_defense1"   "1st Rank Defense Rune"
"DOTA_Tooltip_modifier_item_hd_trace_defense1_Description"       "Increases maximum life regeneration by 1.5% of max health and damage reduction by 10%"
"DOTA_Tooltip_modifier_item_hd_trace_defense2"   "2nd Rank Defense Rune"
"DOTA_Tooltip_modifier_item_hd_trace_defense2_Description"       "Increases maximum life regeneration by 3% of max health and damage reduction by 20%"
"DOTA_Tooltip_modifier_item_hd_trace_defense3"   "3rd Rank Defense Rune"
"DOTA_Tooltip_modifier_item_hd_trace_defense3_Description"       "Increases maximum life regeneration by 5% of max health and damage reduction by 40%"

"DOTA_Tooltip_modifier_item_hd_trace_spell1"   "1st Rank Resource Rune"
"DOTA_Tooltip_modifier_item_hd_trace_spell1_Description"       "Increases mana regeneration by 20 and cooldown reduction by 8%"
"DOTA_Tooltip_modifier_item_hd_trace_spell2"   "2nd Rank Resource Rune"
"DOTA_Tooltip_modifier_item_hd_trace_spell2_Description"       "Increases mana regeneration by 40 and cooldown reduction by 15%"
"DOTA_Tooltip_modifier_item_hd_trace_spell3"   "3rd Rank Resource Rune"
"DOTA_Tooltip_modifier_item_hd_trace_spell3_Description"       "Increases mana regeneration by 80 and cooldown reduction by 25%"

"DOTA_Tooltip_modifier_item_hd_trace_sword"   "Legendary Eidos·Sword"
"DOTA_Tooltip_modifier_item_hd_trace_sword_Description"       "Increases all damage dealt by 50% and maximum health by 25%, negating fatal damage and granting invincibility for 5 seconds. The Sword effect disappears after this period."

"DOTA_Tooltip_modifier_item_hd_trace_stone"   "Legendary Eidos·Stone"
"DOTA_Tooltip_modifier_item_hd_trace_stone_Description"       "Refreshes the cooldown of all renewable skills, then increases all attributes by 150 and cooldown reduction by 35% for 30 seconds."

"DOTA_Tooltip_modifier_item_hd_trace_crown"   "Pinnacle Eidos·Heart"
"DOTA_Tooltip_modifier_item_hd_trace_crown_Description"       "Grants invincibility for 5 seconds and increases all damage dealt by 40%, maximum health by 20%, all attributes by 120, and cooldown reduction by 28% for 20 seconds."

"DOTA_Tooltip_ability_item_hd_trace_speed1"   "1st Rank Haste Rune"
"DOTA_Tooltip_ability_item_hd_trace_speed1_Description"       "<h1>Cost: Haste Surge</h1>Increases attack speed by 60 and movement speed by 60 for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_speed2"   "2nd Rank Haste Rune"
"DOTA_Tooltip_ability_item_hd_trace_speed2_Description"       "<h1>Cost: Haste Surge</h1>Increases attack speed by 130 and movement speed by 130 for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_speed3"   "3rd Rank Haste Rune"
"DOTA_Tooltip_ability_item_hd_trace_speed3_Description"       "<h1>Cost: Haste Surge</h1>Increases attack speed by 200 and movement speed by 200, breaking the movement speed cap, for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_power1"   "1st Rank Offense Rune"
"DOTA_Tooltip_ability_item_hd_trace_power1_Description"       "<h1>Cost: Offensive Instinct</h1>Increases attack damage by 20% and skill amplification by 10% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_power2"   "2nd Rank Offense Rune"
"DOTA_Tooltip_ability_item_hd_trace_power2_Description"       "<h1>Cost: Offensive Instinct</h1>Increases attack damage by 40% and skill amplification by 30% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_power3"   "3rd Rank Offense Rune"
"DOTA_Tooltip_ability_item_hd_trace_power3_Description"       "<h1>Cost: Offensive Instinct</h1>Increases attack damage by 60% and skill amplification by 50% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_defense1"   "1st Rank Defense Rune"
"DOTA_Tooltip_ability_item_hd_trace_defense1_Description"       "<h1>Cost: Defensive Body</h1>Increases life regeneration by 1.5% of maximum health and damage reduction by 10% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_defense2"   "2nd Rank Defense Rune"
"DOTA_Tooltip_ability_item_hd_trace_defense2_Description"       "<h1>Cost: Defensive Body</h1>Increases life regeneration by 3% of maximum health and damage reduction by 20% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_defense3"   "3rd Rank Defense Rune"
"DOTA_Tooltip_ability_item_hd_trace_defense3_Description"       "<h1>Cost: Defensive Body</h1>Increases life regeneration by 5% of maximum health and damage reduction by 40% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_spell1"   "1st Rank Resource Rune"
"DOTA_Tooltip_ability_item_hd_trace_spell1_Description"       "<h1>Cost: Mana Overflow</h1>Increases mana regeneration by 20 and cooldown reduction by 8% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_spell2"   "2nd Rank Resource Rune"
"DOTA_Tooltip_ability_item_hd_trace_spell2_Description"       "<h1>Cost: Mana Overflow</h1>Increases mana regeneration by 40 and cooldown reduction by 15% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_spell3"   "3rd Rank Resource Rune"
"DOTA_Tooltip_ability_item_hd_trace_spell3_Description"       "<h1>Cost: Mana Overflow</h1>Increases mana regeneration by 80 and cooldown reduction by 25% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_sword"   "Legendary Eidos·Sword"
"DOTA_Tooltip_ability_item_hd_trace_sword_Description"       "<h1>Cost: Salvation</h1>Increases all damage dealt by 50% and maximum health by 25% for 30 seconds. If fatal damage is received during this time, it is negated and grants invincibility for 5 seconds before the Sword effect fades."
"DOTA_Tooltip_ability_item_hd_trace_stone"   "Legendary Eidos·Stone"
"DOTA_Tooltip_ability_item_hd_trace_stone_Description"       "<h1>Cost: Deification</h1>Instantly refreshes the cooldown of all renewable skills, then increases all attributes by 150 and cooldown reduction by 35% for 30 seconds."
"DOTA_Tooltip_ability_item_hd_trace_crown"   "Pinnacle Eidos·Heart"
"DOTA_Tooltip_ability_item_hd_trace_crown_Description"       "<h1>Cost: Ascension</h1>Grants invincibility for 5 seconds and increases all damage dealt by 40%, maximum health by 20%, all attributes by 120, and cooldown reduction by 28% for 20 seconds."

"DOTA_Tooltip_ability_Advanced_trace_on_note_lv5"				"【Legendary Eidos++】 Chance to materialize the Sword and Stone increased to %chance_lvl5%%"
"DOTA_Tooltip_ability_Advanced_trace_on_note_lv10"			"【Eidos Flow Band】 Gains %outgoing_lvl10%% damage increase; when Auto-Cast is enabled, this effect is transferred to the nearest allied hero"
"DOTA_Tooltip_ability_Advanced_trace_on_note_lv15"			"【Swift Manifestation】 Cooldown reduced to %cd_lvl15% seconds"
"DOTA_Tooltip_ability_Advanced_trace_on_note_lv20"			"【Pinnacle Eidos】 Upon manifestation, there is a %chance_lvl20%% chance to convert runes, the Sword, and the Stone into Pinnacle Eidos·Heart, providing unparalleled combined effects"
"DOTA_Tooltip_ability_Advanced_trace_on_note_base_Info" "Chance for 2nd Rank Runes: -2.1% per level<br/>Chance for 3rd Rank Runes: +2.1% per level"


"HUD_NOTE_UNREFRSHABLE"  "Characteristics: <font color=\"#d9534f\">Unrefreshable</font>"
"HUD_NOTE_Break"  "Characteristics: <font color=\"#d9534f\">{s:breakTarget} affected by break</font>{s:breakNote}"
"HUD_NOTE_Uniqueness"  "Equipment Uniqueness:{s:isUnquenss}"
"HUD_NOTE_Talent"  "Talent: <font color=\"#fffd7a\">{s:heroName}</font>"
"HUD_NOTE_Upgrate_Cost"  "Elevation/Upgrade Cost: <font color=\"#fffd7a\">{s:cost} Gold</font>"

"HUD_NOTE_Shield_special"  "Shield Characteristics:{s:shieldInfo}"
"HUD_NOTE_Shield_type"  "Shield Type:{s:shieldInfo}"
"HUD_NOTE_Shield_disabled"  "<font color=\"#d9534f\"> Disabled by shield break</font>"
"HUD_NOTE_Shield_stack1"  " Take the highest value"
"HUD_NOTE_Shield_stack2"  " Perfect stacking"


"HUD_NOTE_DEBUFF"  "Debuff Affect"
"HUD_NOTE_BUFF"  "Buff Affect"
"HUD_NOTE_Trigger_Event"  "Probability Event Affect"

"HUD_NOTE_Slow"  "Slow "
"HUD_NOTE_Enemy_Target"  "Enemy Target "
"HUD_NOTE_Main_Effect"  "Main Effect "
"HUD_NOTE_Stun"       "Stun Effect "
"HUD_NOTE_Disarm_EnemyAllies"       "Disarm Enemy/Ally "
"HUD_NOTE_EnemyAllies"       "Enemy/Ally "

"HUD_NOTE_Main"  "Main Effect "
"HUD_NOTE_Secondary" "Secondary Effect "

"HUD_NOTE_Burn" "Burn "
"HUD_NOTE_paralysis"  "Paralysis "
"HUD_NOTE_DancingYouth"   "Dancing Youth "
"HUD_NOTE_SoulTrembling"  "Soul Trembling "
"HUD_NOTE_SoulReplacement"  "Soul Replacement "
"HUD_NOTE_Shield"         "Shield "
"HUD_NOTE_Rage"        "Rage "
"HUD_NOTE_Initial"   "Initial "
"HUD_NOTE_Phase"  "Phase "
"HUD_NOTE_AntiVitality"  "Anti-Vitality "
"HUD_NOTE_AntiMage"  "Anti-Mage "

"HUD_NOTE_Bonus_Move"  "Bonus Move Speed "
"HUD_NOTE_EarthquakeSource"  "Earthquake Source "
"HUD_NOTE_BonusMagicResistance"  "Bonus Magic Resistance "
"HUD_NOTE_shield_of_the_North_Sea"  "Shield of North Sea "
"HUD_NOTE_Dragon_Skin"  "Dragon Skin "
"HUD_NOTE_HalfChance"  "only half of the original chance to trigger "

"HUD_NOTE_Brewmaster"  "the attack speed and bonus movement speed become -10%%, and evasion is invalid "


"HUD_NOTE_HalfEffect"  "only 50% effect "
"HUD_NOTE_NoBonusDamage"  "no bonus damage "
"HUD_NOTE_ContinuousDamage"  "regards as taking continuous damage "

"HUD_NOTE_AsDay"  "regarded as daytime "
"HUD_NOTE_AsNight"  "regarded as nighttime "
"HUD_NOTE_WillNotGrow"  "will not grow "
"HUD_NOTE_HalfKillEffect"  "only 50% kill effect "
"HUD_NOTE_FROM_CASTER"   "(From Caster) "
"HUD_NOTE_ATTACK_TRIGGER"      "Attack trigger "
"HUD_NOTE_Probability_Effect"      "Positive Effects "
"HUD_NOTE_FLOW"  "Flow "



"HUD_NOTE_DEBUFF_StateResistance"  "State resistance "
"HUD_NOTE_DEBUFF_NegativeGain"  "Длительность отрицательного эффекта "
